name,code,Longitude,Latitude
Manzanita Lake California,CMAN,"121бу 34' 49""","40бу 32' 24"""
Maple Creek California,CMAP,"123бу 56' 12""","40бу 47' 47"""
McGuires California,CMCG,"123бу 36' 04""","39бу 21' 10"""
Mendocino Pass California,CMEN,"122бу 56' 42""","39бу 48' 27"""
Meyers California,CMEY,"120бу 01' 05""","38бу 50' 56"""
Milford Micro California,CMLF,"120бу 21' 00""","40бу 08' 00"""
Mule Mountain California,CMLM,"122бу 30' 11""","40бу 34' 09"""
Modoc NWR California,CMOD,"120бу 31' 08""","41бу 27' 32"""
Mohawk California,CMOH,"120бу 35' 41""","39бу 46' 46"""
Markleeville California,CMRK,"119бу 46' 30""","38бу 41' 26"""
Mt. Shasta California,CMS2,"122бу 18' 56""","41бу 18' 56"""
Mt. Shasta California,CMTS,"122бу 11' 42""","41бу 12' 02"""
Mount Zion California,CMTZ,"120бу 39' 04""","38бу 23' 22"""
Novato Fire - Robinhood California,CNVF,"122бу 32' 59""","38бу 06' 45"""
Oak Bottom California,COAB,"122бу 36' 20""","40бу 39' 02"""
Oak Knoll California,COAK,"122бу 51' 00""","41бу 50' 19"""
Oak Mountain California,COAM,"121бу 59' 00""","41бу 00' 23"""
Oak Ridge California,COAR,"123бу 18' 30""","38бу 44' 17"""
Oak Knoll - Portable California,COKP,"122бу 51' 00""","41бу 51' 10"""
Openshaw California,COPS,"121бу 38' 07""","39бу 35' 23"""
Owens Camp Loc California,COWE,"120бу 14' 42""","38бу 44' 00"""
Patty Mocus California,CPAT,"122бу 52' 29""","40бу 17' 10"""
Pierce California,CPIE,"120бу 38' 32""","40бу 14' 46"""
Pike County Lookout California,CPIK,"121бу 12' 09""","39бу 28' 30"""
Pilot Hill California,CPIL,"121бу 00' 31""","38бу 49' 57"""
Pinecrest 2 California,CPNC,"120бу 00' 38""","38бу 11' 10"""
Panther Springs California,CPNT,"121бу 46' 33""","40бу 14' 31"""
Quartz Hill California,CQUA,"122бу 56' 01""","41бу 35' 57"""
Quincy Rd California,CQUI,"120бу 56' 31""","39бу 58' 24"""
Quincy - Portable California,CQUP,"120бу 44' 50""","39бу 54' 00"""
Ravendale California,CRAV,"120бу 18' 59""","40бу 43' 51"""
Reader Ranch California,CRDR,"121бу 07' 02""","39бу 18' 13"""
Redding Airport California,CREA,"122бу 17' 26""","40бу 30' 57"""
Rice Canyon California,CRIA,"120бу 19' 43""","39бу 31' 30"""
Redding Airport Prtble California,CRPT,"122бу 30' 00""","40бу 51' 00"""
Rattle Brush California,CRTB,"122бу 33' 06""","40бу 53' 30"""
Rush Creek California,CRUS,"120бу 52' 11""","41бу 17' 17"""
Ruth California,CRUT,"123бу 18' 57""","40бу 15' 02"""
Sacramento NWR California,CSAC,"122бу 10' 57""","39бу 25' 02"""
Sawyers Bar California,CSAW,"123бу 07' 56""","41бу 18' 01"""
Scorpion California,CSCN,"122бу 41' 48""","41бу 06' 42"""
Soda Creek California,CSDC,"122бу 58' 38""","39бу 25' 30"""
Saddleback California,CSDD,"120бу 51' 55""","39бу 38' 15"""
Secret Town California,CSEC,"120бу 53' 05""","39бу 11' 01"""
Seed Orchard California,CSEE,"120бу 44' 00""","39бу 05' 00"""
Sugarloaf (5-C) California,CSG5,"120бу 18' 36""","38бу 47' 02"""
School House California,CSHH,"123бу 54' 20""","41бу 08' 18"""
Ship Mtn. California,CSHI,"123бу 47' 30""","41бу 44' 09"""
Ship Mtn. 1 California,CSHP,"123бу 58' 00""","41бу 51' 00"""
Sims California,CSIM,"122бу 22' 24""","41бу 04' 30"""
Slater Butte California,CSLA,"123бу 21' 09""","41бу 51' 31"""
Slate Creek California,CSLC,"123бу 39' 32""","41бу 20' 28"""
Canon BAER (Shingle) California,CSMF,"119бу 28' 13""","38бу 26' 42"""
Smith River California,CSMR,"124бу 08' 28""","41бу 53' 07"""
Soldier Mountain California,CSOL,"121бу 35' 08""","40бу 55' 33"""
Somes Bar California,CSOM,"123бу 29' 45""","41бу 23' 24"""
Surprise Portable California,CSP1,"120бу 03' 30""","41бу 10' 15"""
Surprise Portable (2) California,CSP2,"120бу 02' 19""","41бу 11' 20"""
Surprise Valley California,CSP3,"120бу 09' 24""","41бу 37' 13"""
Sacramento NWR QD California,CSQD,"122бу 11' 02""","39бу 26' 46"""
Scott Rvr - Portable California,CSRP,"122бу 51' 20""","41бу 36' 00"""
Santa Rosa California,CSRS,"122бу 42' 43""","38бу 28' 43"""
Stampede California,CSTA,"120бу 05' 13""","39бу 28' 16"""
Steely Fork California,CSTF,"120бу 31' 40""","38бу 37' 34"""
Stonyford California,CSTO,"122бу 34' 30""","39бу 22' 01"""
Cottage California,CSTS,"120бу 13' 45""","38бу 20' 46"""
Sugarloaf (SHF) California,CSUF,"122бу 26' 18""","40бу 55' 00"""
Summit Camp California,CSUM,"120бу 17' 18""","38бу 29' 24"""
Swain Mountain California,CSWA,"121бу 06' 15""","40бу 26' 43"""
Tahoe Donner California,CTDN,"120бу 16' 24""","39бу 20' 18"""
Thomes Creek California,CTHO,"122бу 36' 35""","39бу 51' 52"""
Timber Mountain California,CTIM,"121бу 17' 53""","41бу 37' 46"""
Trench 1 California,CTRE,"118бу 54' 40""","38бу 09' 41"""
