"Year","County","total","elderly","elder_proportion"
2014,"San Mateo",739837,103906,0.140444449250308
2014,"Santa Barbara",431555,57779,0.133885599749742
2014,"Santa Clara",1841569,214715,0.116593513465963
2014,"Santa Cruz",267203,32612,0.122049527887037
2014,"Shasta",178520,32386,0.18141384718799
2014,"Sierra",3019,697,0.230871149387214
2014,"Siskiyou",44261,9363,0.211540633966698
2014,"Solano",421624,52311,0.124070261654934
2014,"Sonoma",491790,75135,0.152778625022876
2014,"Stanislaus",522794,59460,0.113735046691431
2014,"Sutter",95067,13000,0.13674566358463
2014,"Tehama",63284,10683,0.168810441817837
2014,"Trinity",13515,2985,0.220865704772475
2014,"Tulare",451108,44733,0.099162506539454
2014,"Tuolumne",54347,11923,0.219386534675327
2014,"Ventura",835790,105599,0.126346331016164
2014,"Yolo",204162,21722,0.10639590129407
2014,"Yuba",73059,7945,0.108747724441889
2015,"Alameda",1584983,191933,0.121094674201553
2015,"Alpine",1131,224,0.198054818744474
2015,"Amador",36995,8657,0.23400459521557
2015,"Butte",222564,36819,0.165431067018925
2015,"Calaveras",44767,10867,0.242745772555677
2015,"Colusa",21396,2731,0.127640680501028
2015,"Contra Costa",1096068,150831,0.137610987639453
2015,"Del Norte",27788,4120,0.148265438318699
2015,"El Dorado",182093,31047,0.170500788058849
2015,"Fresno",956749,104115,0.108821644966444
2015,"Glenn",28029,3987,0.142245531413893
2015,"Humboldt",135034,19894,0.147325858672631
2015,"Imperial",178206,20716,0.116247488861206
2015,"Inyo",18373,3849,0.209492189626082
2015,"Kern",865736,83351,0.0962776181191495
2015,"Kings",150998,13218,0.0875375832792487
2015,"Lake",64158,12683,0.197683843012563
2015,"Lassen",32645,3736,0.114443253178128
2015,"Los Angeles",10038388,1189759,0.118520921885068
2015,"Madera",153187,19105,0.124716849341002
2015,"Marin",258349,48555,0.187943440849394
2015,"Mariposa",17789,4303,0.241891056270729
2015,"Mendocino",87544,15876,0.181348807456822
2015,"Merced",263885,26949,0.102124031301514
2015,"Modoc",9184,2068,0.225174216027875
2015,"Mono",14146,1881,0.132970451010886
2015,"Monterey",428441,49679,0.115952955015977
2015,"Napa",140295,23083,0.164531879254428
2015,"Nevada",98570,22010,0.22329309120422
2015,"Orange",3116069,397657,0.127614953327413
2015,"Placer",366280,63004,0.172010483782898
2015,"Plumas",18966,4614,0.243277443846884
2015,"Riverside",2298032,294213,0.128028243296873
2015,"Sacramento",1465832,181287,0.12367515513374
2015,"San Benito",57557,6263,0.108813871466546
2015,"San Bernardino",2094769,208928,0.0997379663342354
2015,"San Diego",3223096,397674,0.123382611005071
2015,"San Francisco",840763,119177,0.141748625950476
2015,"San Joaquin",708554,80712,0.113910866355987
2015,"San Luis Obispo",276517,46624,0.168611694760177
2015,"San Mateo",748731,107364,0.143394623703306
2015,"Santa Barbara",435850,59556,0.13664334059883
2015,"Santa Clara",1868149,222863,0.119296158925225
2015,"Santa Cruz",269278,34517,0.128183512949443
2015,"Shasta",178942,33495,0.187183556683171
2015,"Sierra",3021,737,0.243958953988745
2015,"Siskiyou",43895,9650,0.219842806697802
2015,"Solano",425753,55038,0.129272136661398
2015,"Sonoma",495078,79016,0.15960313324365
2015,"Stanislaus",527367,62046,0.117652412835843
2015,"Sutter",95247,13385,0.140529360504793
2015,"Tehama",63152,10938,0.173201165442108
2015,"Trinity",13373,3115,0.232932027219023
2015,"Tulare",454033,46112,0.101560899758388
2015,"Tuolumne",54079,12291,0.22727861092106
2015,"Ventura",840833,110084,0.130922549424202
2015,"Yolo",207320,22757,0.109767509164577
2015,"Yuba",73437,8157,0.111074798807141
